Round,Player Wins,Hand size,Dealer Wins,Stake,Round Earnings
1,0,3,1,40.0,-40.0
2,0,3,1,24.0,-24.0
3,0,3,0,14.4,0.0
4,0,3,0,14.4,0.0
5,0,3,1,14.4,-14.399999999999999
1,0,3,0,40.0,0.0
2,0,3,1,40.0,-40.0
3,0,3,0,24.0,0.0
4,0,3,1,24.0,-24.0
5,0,3,0,14.4,0.0
1,0,2,0,40.0,0.0
2,0,2,0,40.0,0.0
3,0,2,0,40.0,0.0
4,0,2,0,40.0,0.0
5,1,2,0,40.0,40.0
1,0,2,1,40.0,-40.0
2,0,2,1,24.0,-24.0
3,1,2,0,14.4,14.399999999999999
4,0,2,0,20.16,0.0
5,0,2,1,20.16,-20.16
1,1,3,0,40.0,40.0
2,1,3,0,56.0,56.0
3,0,3,1,78.4,-78.4
4,0,3,0,47.04,0.0
5,1,3,0,47.04,47.03999999999999
1,1,2,0,40.0,40.0
2,0,2,0,56.0,0.0
3,0,2,0,56.0,0.0
4,0,2,0,56.0,0.0
5,0,2,0,56.0,0.0
1,1,3,0,40.0,40.0
2,0,3,0,56.0,0.0
3,1,3,0,56.0,56.0
4,0,3,0,78.4,0.0
5,0,3,1,78.4,-78.4
1,0,2,1,40.0,-40.0
2,0,2,1,24.0,-24.0
3,0,2,1,14.4,-14.399999999999999
4,0,2,1,8.64,-8.64
5,1,2,0,5.184000000000001,5.184000000000001
1,0,3,0,40.0,0.0
2,1,3,0,40.0,40.0
3,1,3,0,56.0,56.0
4,1,3,0,78.4,78.39999999999998
5,0,3,0,109.75999999999999,0.0
1,0,3,1,40.0,-40.0
2,1,3,0,24.0,24.0
3,0,3,0,33.6,0.0
4,1,3,0,33.6,33.599999999999994
5,0,3,0,47.04,0.0
1,0,4,0,40.0,0.0
2,0,4,0,40.0,0.0
3,0,4,0,40.0,0.0
4,0,4,0,40.0,0.0
5,0,4,0,40.0,0.0
1,0,5,0,40.0,0.0
2,0,5,0,40.0,0.0
3,0,5,0,40.0,0.0
4,0,5,0,40.0,0.0
5,0,5,0,40.0,0.0
1,0,2,1,40.0,-40.0
2,1,2,0,24.0,24.0
3,0,2,0,33.6,0.0
4,0,2,1,33.6,-33.6
5,1,2,0,20.16,20.160000000000004
1,0,2,1,40.0,-40.0
2,0,2,0,24.0,0.0
3,0,2,1,24.0,-24.0
4,1,2,0,14.4,14.399999999999999
5,1,2,0,20.16,20.160000000000004
1,0,2,0,40.0,0.0
2,0,2,1,40.0,-40.0
3,0,2,0,24.0,0.0
4,0,2,1,24.0,-24.0
5,0,2,0,14.4,0.0
1,0,3,0,40.0,0.0
2,1,3,0,40.0,40.0
3,1,3,0,56.0,56.0
4,1,3,0,78.4,78.39999999999998
5,0,3,0,109.75999999999999,0.0
1,0,2,0,40.0,0.0
2,0,2,0,40.0,0.0
3,0,2,1,40.0,-40.0
4,0,2,0,24.0,0.0
5,1,2,0,24.0,24.0
1,0,2,1,40.0,-40.0
2,1,2,0,24.0,24.0
3,1,2,0,33.6,33.599999999999994
4,0,2,0,47.04,0.0
5,0,2,0,47.04,0.0
1,0,4,0,40.0,0.0
2,0,4,1,40.0,-40.0
3,0,4,0,24.0,0.0
4,0,4,1,24.0,-24.0
5,0,4,0,14.4,0.0
1,0,3,1,40.0,-40.0
2,0,3,0,24.0,0.0
3,0,3,1,24.0,-24.0
4,0,3,0,14.4,0.0
5,0,3,0,14.4,0.0
1,0,5,0,40.0,0.0
2,0,5,0,40.0,0.0
3,0,5,0,40.0,0.0
4,0,5,0,40.0,0.0
5,0,5,1,40.0,-40.0
1,0,2,0,40.0,0.0
2,0,2,0,40.0,0.0
3,0,2,1,40.0,-40.0
4,0,2,1,24.0,-24.0
5,0,2,1,14.4,-14.399999999999999
1,1,3,0,40.0,40.0
2,0,3,0,56.0,0.0
3,0,3,0,56.0,0.0
4,0,3,0,56.0,0.0
5,0,3,0,56.0,0.0
1,1,3,0,40.0,40.0
2,0,3,0,56.0,0.0
3,1,3,0,56.0,56.0
4,0,3,0,78.4,0.0
5,0,3,0,78.4,0.0
1,0,4,0,40.0,0.0
2,0,4,0,40.0,0.0
3,1,4,0,40.0,40.0
4,0,4,0,56.0,0.0
5,1,4,0,56.0,56.0
1,0,2,0,40.0,0.0
2,0,2,0,40.0,0.0
3,0,2,0,40.0,0.0
4,0,2,0,40.0,0.0
5,0,2,1,40.0,-40.0
1,0,3,1,40.0,-40.0
2,0,3,1,24.0,-24.0
3,0,3,1,14.4,-14.399999999999999
4,0,3,0,8.64,0.0
5,0,3,1,8.64,-8.64
1,0,3,0,40.0,0.0
2,1,3,0,40.0,40.0
3,0,3,1,56.0,-56.0
4,0,3,1,33.6,-33.6
5,0,3,0,20.16,0.0
1,0,4,0,40.0,0.0
2,1,4,0,40.0,40.0
3,0,4,0,56.0,0.0
4,0,4,0,56.0,0.0
5,0,4,0,56.0,0.0
1,0,4,1,40.0,-40.0
2,0,4,0,24.0,0.0
3,0,4,0,24.0,0.0
4,1,4,0,24.0,24.0
5,1,4,0,33.6,33.599999999999994
1,0,3,0,40.0,0.0
2,0,3,0,40.0,0.0
3,0,3,0,40.0,0.0
4,0,3,0,40.0,0.0
5,0,3,0,40.0,0.0
1,0,3,1,40.0,-40.0
2,0,3,0,24.0,0.0
3,0,3,0,24.0,0.0
4,0,3,0,24.0,0.0
5,0,3,0,24.0,0.0
1,1,3,0,40.0,40.0
2,0,3,0,56.0,0.0
3,0,3,0,56.0,0.0
4,0,3,0,56.0,0.0
5,0,3,0,56.0,0.0
1,0,3,1,40.0,-40.0
2,0,3,0,24.0,0.0
3,0,3,0,24.0,0.0
4,1,3,0,24.0,24.0
5,1,3,0,33.6,33.599999999999994
1,0,2,0,40.0,0.0
2,1,2,0,40.0,40.0
3,0,2,0,56.0,0.0
4,0,2,0,56.0,0.0
5,1,2,0,56.0,56.0
1,0,2,0,40.0,0.0
2,0,2,0,40.0,0.0
3,0,2,0,40.0,0.0
4,0,2,0,40.0,0.0
5,0,2,0,40.0,0.0
1,0,3,0,40.0,0.0
2,0,3,0,40.0,0.0
3,1,3,0,40.0,40.0
4,0,3,0,56.0,0.0
5,1,3,0,56.0,56.0
1,0,3,0,40.0,0.0
2,0,3,0,40.0,0.0
3,0,3,0,40.0,0.0
4,1,3,0,40.0,40.0
5,0,3,0,56.0,0.0
1,0,4,0,40.0,0.0
2,0,4,0,40.0,0.0
3,0,4,0,40.0,0.0
4,0,4,0,40.0,0.0
5,0,4,0,40.0,0.0
1,1,4,0,40.0,40.0
2,0,4,0,56.0,0.0
3,0,4,0,56.0,0.0
4,0,4,0,56.0,0.0
5,0,4,0,56.0,0.0
1,1,3,0,40.0,40.0
2,0,3,0,56.0,0.0
3,0,3,0,56.0,0.0
4,0,3,1,56.0,-56.0
5,0,3,0,33.6,0.0
1,0,2,0,40.0,0.0
2,0,2,0,40.0,0.0
3,0,2,0,40.0,0.0
4,0,2,1,40.0,-40.0
5,0,2,1,24.0,-24.0
1,0,3,1,40.0,-40.0
2,1,3,0,24.0,24.0
3,0,3,0,33.6,0.0
4,0,3,1,33.6,-33.6
5,0,3,0,20.16,0.0
1,0,3,1,40.0,-40.0
2,0,3,0,24.0,0.0
3,0,3,0,24.0,0.0
4,0,3,1,24.0,-24.0
5,0,3,0,14.4,0.0
1,0,3,1,40.0,-40.0
2,1,3,0,24.0,24.0
3,0,3,0,33.6,0.0
4,0,3,0,33.6,0.0
5,1,3,0,33.6,33.599999999999994
1,0,4,0,40.0,0.0
2,0,4,0,40.0,0.0
3,0,4,1,40.0,-40.0
4,0,4,1,24.0,-24.0
5,0,4,1,14.4,-14.399999999999999
1,0,2,0,40.0,0.0
2,0,2,0,40.0,0.0
3,0,2,1,40.0,-40.0
4,0,2,0,24.0,0.0
5,0,2,0,24.0,0.0
1,0,2,0,40.0,0.0
2,0,2,1,40.0,-40.0
3,0,2,1,24.0,-24.0
4,0,2,0,14.4,0.0
5,1,2,0,14.4,14.399999999999999
1,0,3,0,40.0,0.0
2,0,3,0,40.0,0.0
3,1,3,0,40.0,40.0
4,0,3,0,56.0,0.0
5,0,3,1,56.0,-56.0
1,0,3,0,40.0,0.0
2,0,3,0,40.0,0.0
3,1,3,0,40.0,40.0
4,0,3,0,56.0,0.0
5,0,3,0,56.0,0.0
1,0,3,0,40.0,0.0
2,1,3,0,40.0,40.0
3,0,3,0,56.0,0.0
4,0,3,0,56.0,0.0
5,0,3,0,56.0,0.0
1,0,4,0,40.0,0.0
2,0,4,0,40.0,0.0
3,0,4,1,40.0,-40.0
4,0,4,0,24.0,0.0
5,0,4,0,24.0,0.0
1,1,3,0,40.0,40.0
2,0,3,0,56.0,0.0
3,0,3,1,56.0,-56.0
4,0,3,1,33.6,-33.6
5,0,3,1,20.16,-20.16
1,1,3,0,40.0,40.0
2,0,3,1,56.0,-56.0
3,0,3,1,33.6,-33.6
4,0,3,0,20.16,0.0
5,0,3,1,20.16,-20.16
1,0,2,0,40.0,0.0
2,0,2,0,40.0,0.0
3,0,2,1,40.0,-40.0
4,0,2,0,24.0,0.0
5,0,2,0,24.0,0.0
1,0,3,1,40.0,-40.0
2,0,3,1,24.0,-24.0
3,0,3,0,14.4,0.0
4,0,3,1,14.4,-14.399999999999999
5,1,3,0,8.64,8.64
1,0,4,0,40.0,0.0
2,0,4,0,40.0,0.0
3,1,4,0,40.0,40.0
4,0,4,0,56.0,0.0
5,0,4,0,56.0,0.0
1,0,3,0,40.0,0.0
2,0,3,0,40.0,0.0
3,1,3,0,40.0,40.0
4,0,3,0,56.0,0.0
5,0,3,0,56.0,0.0
1,0,2,0,40.0,0.0
2,0,2,0,40.0,0.0
3,0,2,0,40.0,0.0
4,1,2,0,40.0,40.0
5,0,2,1,56.0,-56.0
1,1,3,0,40.0,40.0
2,0,3,0,56.0,0.0
3,1,3,0,56.0,56.0
4,1,3,0,78.4,78.39999999999998
5,0,3,0,109.75999999999999,0.0
1,0,2,0,40.0,0.0
2,0,2,0,40.0,0.0
3,0,2,0,40.0,0.0
4,1,2,0,40.0,40.0
5,1,2,0,56.0,56.0
1,0,3,0,40.0,0.0
2,0,3,1,40.0,-40.0
3,1,3,0,24.0,24.0
4,1,3,0,33.6,33.599999999999994
5,0,3,0,47.04,0.0
1,0,3,1,40.0,-40.0
2,1,3,0,24.0,24.0
3,0,3,1,33.6,-33.6
4,1,3,0,20.16,20.160000000000004
5,1,3,0,28.224000000000004,28.224000000000004
1,1,3,0,40.0,40.0
2,0,3,0,56.0,0.0
3,0,3,0,56.0,0.0
4,0,3,0,56.0,0.0
5,0,3,0,56.0,0.0
1,0,4,1,40.0,-40.0
2,0,4,0,24.0,0.0
3,1,4,0,24.0,24.0
4,0,4,0,33.6,0.0
5,0,4,0,33.6,0.0
1,1,2,0,40.0,40.0
2,0,2,0,56.0,0.0
3,0,2,0,56.0,0.0
4,0,2,0,56.0,0.0
5,1,2,0,56.0,56.0
1,0,2,1,40.0,-40.0
2,0,2,0,24.0,0.0
3,0,2,0,24.0,0.0
4,0,2,1,24.0,-24.0
5,0,2,1,14.4,-14.399999999999999
1,0,3,0,40.0,0.0
2,0,3,0,40.0,0.0
3,0,3,0,40.0,0.0
4,0,3,1,40.0,-40.0
5,0,3,1,24.0,-24.0
1,0,3,0,40.0,0.0
2,0,3,0,40.0,0.0
3,0,3,0,40.0,0.0
4,1,3,0,40.0,40.0
5,0,3,0,56.0,0.0
1,0,2,0,40.0,0.0
2,0,2,0,40.0,0.0
3,0,2,1,40.0,-40.0
4,0,2,0,24.0,0.0
5,0,2,1,24.0,-24.0
1,0,2,0,40.0,0.0
2,0,2,0,40.0,0.0
3,0,2,0,40.0,0.0
4,1,2,0,40.0,40.0
5,1,2,0,56.0,56.0
1,0,3,0,40.0,0.0
2,1,3,0,40.0,40.0
3,0,3,0,56.0,0.0
4,0,3,0,56.0,0.0
5,0,3,0,56.0,0.0
1,0,3,1,40.0,-40.0
2,0,3,0,24.0,0.0
3,0,3,1,24.0,-24.0
4,1,3,0,14.4,14.399999999999999
5,0,3,1,20.16,-20.16
1,0,2,0,40.0,0.0
2,0,2,1,40.0,-40.0
3,0,2,1,24.0,-24.0
4,0,2,0,14.4,0.0
5,1,2,0,14.4,14.399999999999999
1,0,2,0,40.0,0.0
2,0,2,1,40.0,-40.0
3,0,2,0,24.0,0.0
4,0,2,0,24.0,0.0
5,1,2,0,24.0,24.0
1,0,4,1,40.0,-40.0
2,0,4,0,24.0,0.0
3,0,4,0,24.0,0.0
4,0,4,1,24.0,-24.0
5,0,4,1,14.4,-14.399999999999999
1,0,3,0,40.0,0.0
2,0,3,1,40.0,-40.0
